CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
GRAND THEFT,01/02/2016 04:34:00 PM,16-000259,GRAND THEFT,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.737486, -122.198228)"
ROBBERY,01/01/2016 09:05:00 PM,16-000145,ROBBERY-FIREARM,06X,2500 SAN PABLO AV,Oakland,CA,"2500 SAN PABLO AV
Oakland, CA
(37.81592, -122.274936)"
PETTY THEFT,01/03/2016 11:00:00 AM,16-000371,THEFT,19X,300 E 8TH ST,Oakland,CA,"300 E 8TH ST
Oakland, CA
(37.793085, -122.259905)"
VANDALISM,12/24/2015 11:12:00 PM,15-917076,VANDALISM,07X,2600 ADELINE ST,Oakland,CA,"2600 ADELINE ST
Oakland, CA
(37.818723, -122.282813)"
STOLEN VEHICLE,12/19/2015 10:00:00 AM,16-000238,VEHICLE THEFT - AUTO,08X,200 29TH ST,Oakland,CA,"200 29TH ST
Oakland, CA
(37.816105, -122.258617)"
VANDALISM,12/28/2015 05:35:00 AM,15-068339,"VANDALISM [UNDER $1,000] (AMENDED)",35X,8400 MACARTHUR BLVD,Oakland,CA,"8400 MACARTHUR BLVD
Oakland, CA
(37.761023, -122.163434)"
DISORDERLY CONDUCT,12/27/2015 11:31:00 PM,15-068399,DISTURB THE PEACE,30X,2600 68TH AV,Oakland,CA,"2600 68TH AV
Oakland, CA
(37.766588, -122.183293)"
STOLEN VEHICLE,01/01/2016 07:00:00 PM,16-000352,VEHICLE THEFT - AUTO,31Y,600 NEVADA ST,Oakland,CA,"600 NEVADA ST
Oakland, CA
(37.736764, -122.184488)"
NARCOTICS,01/03/2016 12:09:00 AM,16-000314,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,1000 32ND ST,Oakland,CA,"1000 32ND ST
Oakland, CA
(37.82306, -122.277962)"
PETTY THEFT,12/22/2015 12:00:00 AM,15-067640,THEFT,30X,1600 67TH AV,Oakland,CA,"1600 67TH AV
Oakland, CA
(37.763294, -122.189803)"
ARSON,01/03/2016 02:35:00 AM,16-000329,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,33X,900 90TH AV,Oakland,CA,"900 90TH AV
Oakland, CA
(37.745788, -122.18278)"
PETTY THEFT,12/29/2015 07:50:00 AM,16-000190,PETTY THEFT,17Y,2200 10TH AV,Oakland,CA,"2200 10TH AV
Oakland, CA
(37.797366, -122.242324)"
PETTY THEFT,01/02/2016 11:00:00 PM,16-000370,THEFT,35X,9100 BURR ST,Oakland,CA,"9100 BURR ST
Oakland, CA
(37.755632, -122.158011)"
STOLEN VEHICLE,12/29/2015 06:00:00 PM,15-068748,VEHICLE THEFT - AUTO,16Y,4100 RANDOLPH AV,Oakland,CA,"4100 RANDOLPH AV
Oakland, CA
(37.806086, -122.222926)"
BURG - AUTO,12/22/2015 09:00:00 AM,15-916874,BURGLARY-AUTO,03Y,1100 JEFFERSON ST,Oakland,CA,"1100 JEFFERSON ST
Oakland, CA
(37.803677, -122.276059)"
DISORDERLY CONDUCT,12/23/2015 12:00:00 PM,15-067666,DISTURB THE PEACE,27Y,2400 SEMINARY AV,Oakland,CA,"2400 SEMINARY AV
Oakland, CA
(37.769943, -122.192671)"
ROBBERY,01/02/2016 05:00:00 PM,16-000267,ROBBERY-KNIFE OR CUTTING INSTRUMENT,30Y,7800 MACARTHUR BLVD,Oakland,CA,"7800 MACARTHUR BLVD
Oakland, CA
(37.766397, -122.168102)"
THREATS,01/02/2016 03:30:00 PM,16-000257,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,6400 FOOTHILL BLVD,Oakland,CA,"6400 FOOTHILL BLVD
Oakland, CA
(37.770704, -122.183973)"
FELONY ASSAULT,12/31/2015 07:00:00 PM,16-000152,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,29X,2900 73RD AV,Oakland,CA,"2900 73RD AV
Oakland, CA
(37.769878, -122.170898)"
STOLEN VEHICLE,12/29/2015 06:00:00 PM,15-068734,VEHICLE THEFT - AUTO,25Y,5100 SADDLEBROOK DR,Oakland,CA,"5100 SADDLEBROOK DR
Oakland, CA
(37.790889, -122.149663)"
MISDEMEANOR ASSAULT,01/02/2016 05:00:00 AM,16-000175,BATTERY,12Y,6300 COLLEGE AV,Oakland,CA,"6300 COLLEGE AV
Oakland, CA
(37.850346, -122.252379)"
DISORDERLY CONDUCT,12/29/2015 12:00:00 PM,15-068585,DISTURB THE PEACE,12X,4400 BROADWAY,Oakland,CA,"4400 BROADWAY
Oakland, CA
(37.832469, -122.253541)"
PETTY THEFT,12/24/2015 07:00:00 AM,15-917066,THEFT,31Z,700 105TH AV,Oakland,CA,"700 105TH AV
Oakland, CA
(37.733033, -122.178643)"
,01/01/2016 10:15:00 PM,16-000261,BURGLARY-FORCIBLE ENTRY,14X,IFO 345 MACARTHUR BLVD,Oakland,CA,"IFO 345 MACARTHUR BLVD
Oakland, CA
"
BURG - RESIDENTIAL,12/31/2015 09:00:00 PM,16-000189,BURGLARY-FORCIBLE ENTRY,31Y,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)"
BURG - AUTO,12/22/2015 09:50:00 PM,15-916876,BURGLARY-AUTO,12X,4700 SHATTUCK AV,Oakland,CA,"4700 SHATTUCK AV
Oakland, CA
(37.834677, -122.263752)"
STOLEN VEHICLE,01/01/2016 05:00:00 PM,16-000180,VEHICLE THEFT - AUTO,12X,4800 WEBSTER ST,Oakland,CA,"4800 WEBSTER ST
Oakland, CA
(37.834424, -122.260122)"
PETTY THEFT,12/23/2015 10:11:00 AM,15-916883,THEFT,02Y,900 CHESTER ST,Oakland,CA,"900 CHESTER ST
Oakland, CA
(37.807849, -122.295173)"
STOLEN VEHICLE,01/03/2016 10:08:00 AM,16-000362,VEHICLE THEFT - AUTO,20X,1700 FRUITVALE AV,Oakland,CA,"1700 FRUITVALE AV
Oakland, CA
(37.781416, -122.223941)"
BURG - AUTO,01/02/2016 07:00:00 AM,16-000253,BURGLARY-AUTO,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
BURG - RESIDENTIAL,12/25/2015 11:30:00 PM,15-068407,BURGLARY-FORCIBLE ENTRY,34X,1700 87TH AV,Oakland,CA,"1700 87TH AV
Oakland, CA
(37.753279, -122.17241)"
NARCOTICS,01/03/2016 12:47:00 AM,16-000321,POSSESS NARCOTIC CONTROLLED SUBSTANCE,08X,2300 NORTHGATE AV,Oakland,CA,"2300 NORTHGATE AV
Oakland, CA
(37.812987, -122.270985)"
PETTY THEFT,12/27/2015 02:00:00 AM,15-917052,THEFT,04X,1400 WEBSTER ST,Oakland,CA,"1400 WEBSTER ST
Oakland, CA
(37.803348, -122.268814)"
DOMESTIC VIOLENCE,01/01/2016 05:00:00 PM,16-000179,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,99X,500 N 2ND ST,Oakland,CA,"500 N 2ND ST
Oakland, CA
(37.796639, -122.277778)"
RECOVERED O/S STOLEN,12/29/2015 10:00:00 PM,15-068786,VEHICLE THEFT - AUTO,27Y,2300 66TH AV,Oakland,CA,"2300 66TH AV
Oakland, CA
(37.765846, -122.188748)"
MISDEMEANOR ASSAULT,12/30/2015 12:40:00 PM,15-068770,BATTERY,11X,5600 TELEGRAPH AV,Oakland,CA,"5600 TELEGRAPH AV
Oakland, CA
(37.841433, -122.261658)"
VANDALISM,01/02/2016 01:30:00 AM,16-000168,VANDALISM,16Y,1400 MACARTHUR BLVD,Oakland,CA,"1400 MACARTHUR BLVD
Oakland, CA
"
PETTY THEFT,12/23/2015 12:00:00 AM,15-068596,THEFT,30Y,7800 HILLMONT DR,Oakland,CA,"7800 HILLMONT DR
Oakland, CA
(37.768316, -122.164533)"
BURG - COMMERCIAL,12/31/2015 02:00:00 PM,16-000215,BURGLARY-FORCIBLE ENTRY,12X,300 51ST ST,Oakland,CA,"300 51ST ST
Oakland, CA
(37.834903, -122.25289)"
PETTY THEFT,12/27/2015 12:53:00 PM,15-068242,THEFT,33X,9400 B ST,Oakland,CA,"9400 B ST
Oakland, CA
(37.745594, -122.176002)"
STOLEN VEHICLE,12/31/2015 05:00:00 PM,16-000144,VEHICLE THEFT - AUTO,30Y,2600 PARKER AV,Oakland,CA,"2600 PARKER AV
Oakland, CA
(37.763664, -122.172156)"
MISCELLANEOUS TRAFFIC CRIME,01/03/2016 01:06:00 AM,16-000325,DUI ALCOHOL/DRUGS,07X,2300 MARKET ST,Oakland,CA,"2300 MARKET ST
Oakland, CA
(37.815311, -122.27834)"
BURG - AUTO,12/29/2015 10:30:00 PM,15-068784,BURGLARY-AUTO,28X,2600 RAWSON ST,Oakland,CA,"2600 RAWSON ST
Oakland, CA
(37.776716, -122.197793)"
BURG - RESIDENTIAL,12/31/2015 03:00:00 PM,16-000335,BURGLARY-NO FORCE,32Y,2700 TRUMAN AV,Oakland,CA,"2700 TRUMAN AV
Oakland, CA
(37.74689, -122.152461)"
VANDALISM,01/02/2016 06:30:00 AM,16-000176,VANDALISM-$400+,02Y,1200 PERALTA ST,Oakland,CA,"1200 PERALTA ST
Oakland, CA
(37.810006, -122.295021)"
ROBBERY,01/02/2016 08:55:00 PM,16-000298,ROBBERY-FIREARM,15X,800 CLEVELAND AV,Oakland,CA,"800 CLEVELAND AV
Oakland, CA
(37.80399, -122.242712)"
VANDALISM,12/21/2015 10:32:00 PM,15-067229,VANDALISM $400 OR MORE,26X,5300 E 12TH ST,Oakland,CA,"5300 E 12TH ST
Oakland, CA
(37.766051, -122.208406)"
STOLEN VEHICLE,12/29/2015 06:00:00 PM,15-068702,VEHICLE THEFT - AUTO,20X,2500 E 11TH ST,Oakland,CA,"2500 E 11TH ST
Oakland, CA
(37.779718, -122.235775)"
PETTY THEFT,12/23/2015 12:20:00 PM,15-916888,THEFT,27X,1800 VICKSBURG AV,Oakland,CA,"1800 VICKSBURG AV
Oakland, CA
(37.772176, -122.203037)"
BURG - RESIDENTIAL,12/22/2015 07:00:00 PM,16-000441,BURGLARY-FORCIBLE ENTRY,25X,3800 BROWN AV,Oakland,CA,"3800 BROWN AV
Oakland, CA
(37.793337, -122.1962)"
ROBBERY,01/02/2016 07:30:00 PM,16-000284,ROBBERY-FIREARM,23X,1200 33RD AV,Oakland,CA,"1200 33RD AV
Oakland, CA
(37.776213, -122.225111)"
NARCOTICS,01/02/2016 04:00:00 PM,16-000266,POSSESS NARCOTIC CONTROLLED SUBSTANCE,30X,6600 INTERNATIONAL BLVD,Oakland,CA,"6600 INTERNATIONAL BLVD
Oakland, CA
(37.762109, -122.193196)"
STOLEN VEHICLE,01/02/2016 08:00:00 PM,16-000380,VEHICLE THEFT - AUTO,26Y,6200 FENHAM ST,Oakland,CA,"6200 FENHAM ST
Oakland, CA
(37.761967, -122.200127)"
STOLEN VEHICLE,01/02/2016 01:30:00 AM,16-000297,VEHICLE THEFT - AUTO,21Y,3000 COOLIDGE AV,Oakland,CA,"3000 COOLIDGE AV
Oakland, CA
(37.79176, -122.214794)"
VANDALISM,12/28/2015 09:00:00 PM,16-900004,VANDALISM,04X,400 15TH ST,Oakland,CA,"400 15TH ST
Oakland, CA
(37.804815, -122.269353)"
OTHER,01/04/2016 12:00:00 AM,15-000558,VEHICLE THEFT - AUTO,32Y,9800 OLIVE ST.,Oakland,CA,"9800 OLIVE ST.
Oakland, CA
(37.7472, -122.163849)"
BURG - AUTO,12/28/2015 05:45:00 AM,16-900005,BURGLARY-AUTO,77X,MANDELA PARKWAY,Oakland,CA,"MANDELA PARKWAY
Oakland, CA
"
BURG - AUTO,12/30/2015 01:00:00 PM,15-068804,BURGLARY-AUTO,07X,3700 MANDELA PKWY,Oakland,CA,"3700 MANDELA PKWY
Oakland, CA
(37.828081, -122.288002)"
STOLEN VEHICLE,12/29/2015 10:30:00 PM,15-068827,VEHICLE THEFT - AUTO,35X,2600 ALVINGROOM CT,Oakland,CA,"2600 ALVINGROOM CT
Oakland, CA
(37.761023, -122.163434)"
FELONY ASSAULT,01/01/2016 06:04:00 PM,16-000122,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,10300 WALNUT ST,Oakland,CA,"10300 WALNUT ST
Oakland, CA
(37.741391, -122.166171)"
PETTY THEFT,12/09/2015 02:00:00 AM,16-900001,THEFT,25X,3800 MONTEREY BLVD,Oakland,CA,"3800 MONTEREY BLVD
Oakland, CA
(37.796383, -122.189672)"
MISDEMEANOR ASSAULT,01/02/2016 05:07:00 PM,16-000265,BATTERY,34X,1600 87TH AV,Oakland,CA,"1600 87TH AV
Oakland, CA
(37.752684, -122.173687)"
BURG - AUTO,12/18/2015 01:00:00 AM,15-916887,BURGLARY-AUTO,22Y,3300 HERRIER ST,Oakland,CA,"3300 HERRIER ST
Oakland, CA
(37.800771, -122.195394)"
STOLEN VEHICLE,12/31/2015 09:00:00 AM,15-068909,VEHICLE THEFT - AUTO,32X,1200 104TH AV,Oakland,CA,"1200 104TH AV
Oakland, CA
(37.737949, -122.171216)"
STOLEN VEHICLE,12/10/2015 03:00:00 PM,15-068999,VEHICLE THEFT - AUTO,33X,1200 88TH AV,Oakland,CA,"1200 88TH AV
Oakland, CA
(37.74969, -122.17863)"
DOMESTIC VIOLENCE,01/01/2016 07:20:00 PM,16-000131,THREAT CRIME:INT:TERRORIZE,30X,7200 FRESNO ST,Oakland,CA,"7200 FRESNO ST
Oakland, CA
(37.764561, -122.17969)"
DOMESTIC VIOLENCE,01/03/2016 04:06:00 PM,16-000414,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Z,11000 ACALANES DR,Oakland,CA,"11000 ACALANES DR
Oakland, CA
(37.729452, -122.173888)"
FELONY ASSAULT,01/01/2016 03:00:00 PM,16-000102,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27X,1900 51ST AV,Oakland,CA,"1900 51ST AV
Oakland, CA
(37.772637, -122.205087)"
STOLEN VEHICLE,12/27/2015 09:00:00 PM,15-068490,VEHICLE THEFT - AUTO,26Y,7300 SNELL ST,Oakland,CA,"7300 SNELL ST
Oakland, CA
"
MISDEMEANOR ASSAULT,01/01/2016 09:15:00 PM,16-000143,BATTERY,27Y,5900 INTERNATIONAL BLVD,Oakland,CA,"5900 INTERNATIONAL BLVD
Oakland, CA
(37.765111, -122.19952)"
DOMESTIC VIOLENCE,01/02/2016 09:31:00 PM,16-000302,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,27Y,1900 57TH AV,Oakland,CA,"1900 57TH AV
Oakland, CA
(37.768716, -122.197921)"
BURG - COMMERCIAL,01/03/2016 08:30:00 PM,16-000450,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.737486, -122.198228)"
STOLEN VEHICLE,12/15/2015 12:00:00 AM,16-000309,VEHICLE THEFT - AUTO,10Y,1000 43RD ST,Oakland,CA,"1000 43RD ST
Oakland, CA
(37.83354, -122.276403)"
BURG - AUTO,12/31/2015 10:45:00 AM,15-068935,BURGLARY-AUTO,31Y,8300 EDES AV,Oakland,CA,"8300 EDES AV
Oakland, CA
(37.744722, -122.195953)"
VANDALISM,12/29/2015 07:10:00 PM,16-900014,VANDALISM,14Y,700 WALKER AV,Oakland,CA,"700 WALKER AV
Oakland, CA
(37.811446, -122.246945)"
NARCOTICS,01/03/2016 11:56:00 PM,16-000465,POSSESS NARCOTIC CONTROLLED SUBSTANCE,02X,800 UNION ST,Oakland,CA,"800 UNION ST
Oakland, CA
(37.8055, -122.289949)"
ROBBERY,01/01/2016 02:00:00 AM,16-000260,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,4000 SAN LEANDRO ST,Oakland,CA,"4000 SAN LEANDRO ST
Oakland, CA
(37.771825, -122.219673)"
DOMESTIC VIOLENCE,01/03/2016 12:30:00 AM,16-000315,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,9300 OSCAR AV,Oakland,CA,"9300 OSCAR AV
Oakland, CA
(37.739381, -122.186965)"
FELONY ASSAULT,12/30/2015 12:07:00 PM,16-000262,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,24Y,2600 38TH AV,Oakland,CA,"2600 38TH AV
Oakland, CA
(37.785389, -122.207445)"
PETTY THEFT,12/30/2015 12:01:00 AM,16-900013,THEFT,04X,2000 WEBSTER ST,Oakland,CA,"2000 WEBSTER ST
Oakland, CA
(37.808867, -122.266066)"
BURG - AUTO,12/23/2015 07:10:00 PM,15-916913,BURGLARY-AUTO,12X,300 40TH ST,Oakland,CA,"300 40TH ST
Oakland, CA
(37.827618, -122.256721)"
FELONY ASSAULT,01/02/2016 05:50:00 PM,16-000275,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76591, -122.223364)"
PETTY THEFT,12/28/2015 12:05:00 AM,16-900011,THEFT,22Y,3300 ROBINSON DR,Oakland,CA,"3300 ROBINSON DR
Oakland, CA
(37.807419, -122.182064)"
DOMESTIC VIOLENCE,01/03/2016 03:27:00 PM,16-000408,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25X,3600 GREEN ACRE RD,Oakland,CA,"3600 GREEN ACRE RD
Oakland, CA
(37.785798, -122.192032)"
STOLEN VEHICLE,01/03/2016 12:30:00 PM,16-000438,SC STOLEN VEHICLE - AUTO,32X,1600 100TH AV,Oakland,CA,"1600 100TH AV
Oakland, CA
(37.74337, -122.166926)"
FRAUD,12/12/2015 05:25:00 PM,16-900002,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,29X,6200 MAJESTIC AV,Oakland,CA,"6200 MAJESTIC AV
Oakland, CA
(37.776651, -122.17865)"
STOLEN VEHICLE,01/02/2016 09:00:00 PM,16-000427,VEHICLE THEFT - AUTO,24Y,3600 PENNIMAN AV,Oakland,CA,"3600 PENNIMAN AV
Oakland, CA
(37.789295, -122.205986)"
NARCOTICS,01/04/2016 12:52:00 AM,16-000473,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,2500 SAN PABLO AV,Oakland,CA,"2500 SAN PABLO AV
Oakland, CA
(37.81592, -122.274936)"
NARCOTICS,01/02/2016 12:54:00 PM,16-000226,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",31X,200 HEGENBERGER RD,Oakland,CA,"200 HEGENBERGER RD
Oakland, CA
(37.731082, -122.19929)"
MISDEMEANOR ASSAULT,01/02/2016 06:14:00 PM,16-000276,BATTERY,34X,1400 85TH AV,Oakland,CA,"1400 85TH AV
Oakland, CA
(37.753708, -122.177175)"
VANDALISM,01/02/2016 04:46:00 PM,16-000273,VANDALISM,25X,4800 MACARTHUR BLVD,Oakland,CA,"4800 MACARTHUR BLVD
Oakland, CA
(37.784965, -122.18944)"
STOLEN VEHICLE,12/31/2015 09:15:00 AM,15-068984,VEHICLE THEFT - AUTO,27Y,6200 HARMON AV,Oakland,CA,"6200 HARMON AV
Oakland, CA
(37.766496, -122.193302)"
VANDALISM,01/02/2016 10:00:00 PM,16-900006,VANDALISM,32X,9800 WALNUT ST,Oakland,CA,"9800 WALNUT ST
Oakland, CA
(37.745245, -122.16819)"
PETTY THEFT,12/28/2015 01:00:00 AM,16-900012,THEFT,04X,1800 ALICE ST,Oakland,CA,"1800 ALICE ST
Oakland, CA
(37.805616, -122.264456)"
STOLEN VEHICLE,01/02/2016 03:00:00 PM,16-000271,VEHICLE THEFT - AUTO,32X,9900 WALNUT ST,Oakland,CA,"9900 WALNUT ST
Oakland, CA
(37.744318, -122.167518)"
GRAND THEFT,12/24/2015 07:00:00 AM,15-917044,GRAND THEFT,04X,2000 WEBSTER ST,Oakland,CA,"2000 WEBSTER ST
Oakland, CA
(37.808867, -122.266066)"
DOMESTIC VIOLENCE,01/01/2016 06:46:00 PM,16-000125,THREAT CRIME:INT:TERRORIZE,24Y,2700 OCTAVIA ST,Oakland,CA,"2700 OCTAVIA ST
Oakland, CA
(37.787901, -122.209017)"
ROBBERY,01/01/2016 07:20:00 PM,16-000129,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",15X,400 MERRITT AV,Oakland,CA,"400 MERRITT AV
Oakland, CA
(37.804913, -122.24962)"
ROBBERY,12/31/2015 01:15:00 AM,15-068879,ROBBERY-KNIFE OR CUTTING INSTRUMENT,23X,1800 BRIDGE AV,Oakland,CA,"1800 BRIDGE AV
Oakland, CA
(37.779215, -122.218766)"
BURG - AUTO,12/29/2015 07:20:00 PM,16-900010,BURGLARY-AUTO,24Y,3200 35TH AV,Oakland,CA,"3200 35TH AV
Oakland, CA
(37.791143, -122.204977)"
NARCOTICS,01/03/2016 05:00:00 PM,16-000432,POSSESS NARCOTIC CONTROLLED SUBSTANCE,31Y,9700 EDES AV,Oakland,CA,"9700 EDES AV
Oakland, CA
(37.736764, -122.184488)"
FRAUD,12/15/2015 09:20:00 AM,15-916916,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,7000 THORNHILL DR,Oakland,CA,"7000 THORNHILL DR
Oakland, CA
(37.839102, -122.203777)"
PETTY THEFT,12/23/2015 06:00:00 PM,15-916922,THEFT,14X,300 PARK VIEW TER,Oakland,CA,"300 PARK VIEW TER
Oakland, CA
(37.81084, -122.258873)"
STOLEN VEHICLE,12/27/2015 02:00:00 PM,16-000098,VEHICLE THEFT - AUTO,08X,500 30TH ST,Oakland,CA,"500 30TH ST
Oakland, CA
(37.819055, -122.267168)"
,01/03/2016 04:49:00 PM,15-068710,ARSON:INHABITED STRUCTURE/PROPERTY,33X,8700 G STREET,Oakland,CA,"8700 G STREET
Oakland, CA
(37.747935, -122.18456)"
BURG - AUTO,12/23/2015 09:10:00 AM,15-917036,BURGLARY-AUTO,31X,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)"
MISDEMEANOR ASSAULT,01/02/2016 10:00:00 PM,16-000304,BATTERY,06X,800 34TH ST,Oakland,CA,"800 34TH ST
Oakland, CA
(37.824014, -122.272691)"
STOLEN VEHICLE,12/31/2015 04:00:00 PM,15-068988,VEHICLE THEFT - AUTO,31Y,9700 EDES AV,Oakland,CA,"9700 EDES AV
Oakland, CA
(37.736764, -122.184488)"
MISDEMEANOR ASSAULT,01/02/2016 01:30:00 PM,16-000252,BATTERY,27X,5400 TRASK ST,Oakland,CA,"5400 TRASK ST
Oakland, CA
(37.773492, -122.196864)"
MISSING,01/01/2016 04:30:00 AM,15-000533,VEHICLE THEFT - AUTO,28X,2700 MAXWELL AVE,Oakland,CA,"2700 MAXWELL AVE
Oakland, CA
(37.778017, -122.19733)"
MISDEMEANOR ASSAULT,12/28/2015 05:30:00 PM,15-068803,BATTERY,07X,2500 SAN PABLO AV,Oakland,CA,"2500 SAN PABLO AV
Oakland, CA
(37.81592, -122.274936)"
STOLEN VEHICLE,01/03/2016 10:34:00 PM,16-000452,VEHICLE THEFT - AUTO,34X,1700 88TH AV,Oakland,CA,"1700 88TH AV
Oakland, CA
(37.752646, -122.171922)"
VANDALISM,12/21/2015 08:30:00 PM,16-900003,VANDALISM,10Y,800 55TH ST,Oakland,CA,"800 55TH ST
Oakland, CA
(37.839755, -122.270013)"
BURG - COMMERCIAL,12/31/2015 11:50:00 PM,16-000011,BURGLARY-FORCIBLE ENTRY,26X,500 JULIE ANN WY,Oakland,CA,"500 JULIE ANN WY
Oakland, CA
(37.758726, -122.210977)"
ROBBERY,01/02/2016 06:00:00 PM,16-000270,ROBBERY-FIREARM,18X,1700 19TH AV,Oakland,CA,"1700 19TH AV
Oakland, CA
(37.788989, -122.238682)"
BURG - AUTO,12/28/2015 11:30:00 PM,16-900007,BURGLARY-AUTO,14Y,500 LAKE PARK AV,Oakland,CA,"500 LAKE PARK AV
Oakland, CA
(37.810718, -122.247325)"
PETTY THEFT,12/23/2015 06:15:00 PM,15-916890,THEFT,77X,00,Oakland,CA,"00
Oakland, CA
"
STOLEN VEHICLE,12/31/2015 06:00:00 PM,16-000090,VEHICLE THEFT - AUTO,25X,3700 ENOS AV,Oakland,CA,"3700 ENOS AV
Oakland, CA
(37.785273, -122.189367)"
STOLEN VEHICLE,12/31/2015 09:00:00 PM,16-000360,VEHICLE THEFT - AUTO,25X,3500 38TH AV,Oakland,CA,"3500 38TH AV
Oakland, CA
(37.790278, -122.198785)"
FELONY ASSAULT,01/01/2016 06:00:00 PM,16-000167,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27X,4500 BOND ST,Oakland,CA,"4500 BOND ST
Oakland, CA
(37.773341, -122.211044)"
STOLEN VEHICLE,12/31/2015 06:00:00 PM,16-000103,VEHICLE THEFT - AUTO,08X,300 29TH ST,Oakland,CA,"300 29TH ST
Oakland, CA
(37.817335, -122.262422)"
BURG - COMMERCIAL,01/01/2016 08:06:00 PM,16-000153,BURGLARY-FORCIBLE ENTRY,08X,300 W MACARTHUR BLVD,Oakland,CA,"300 W MACARTHUR BLVD
Oakland, CA
(37.824284, -122.258088)"
STOLEN VEHICLE,01/02/2016 09:00:00 PM,16-000418,VEHICLE THEFT - AUTO,30X,1600 79TH AV,Oakland,CA,"1600 79TH AV
Oakland, CA
(37.758673, -122.179121)"
PETTY THEFT,12/24/2015 11:25:00 AM,15-916915,THEFT,25Y,5100 PARKRIDGE DR,Oakland,CA,"5100 PARKRIDGE DR
Oakland, CA
(37.789307, -122.146396)"
DOMESTIC VIOLENCE,12/29/2015 09:30:00 PM,15-068912,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,1400 74TH AV,Oakland,CA,"1400 74TH AV
Oakland, CA
(37.758826, -122.186156)"
PETTY THEFT,12/07/2015 08:00:00 PM,15-916891,THEFT,25X,3700 39TH AV,Oakland,CA,"3700 39TH AV
Oakland, CA
(37.790506, -122.195751)"
STOLEN VEHICLE,01/01/2016 02:00:00 AM,16-000106,VEHICLE THEFT - AUTO,16Y,1300 HAMPEL ST,Oakland,CA,"1300 HAMPEL ST
Oakland, CA
(37.806297, -122.224572)"
FRAUD,12/20/2015 05:40:00 PM,15-916889,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,26Y,7000 SAN LEANDRO ST,Oakland,CA,"7000 SAN LEANDRO ST
Oakland, CA
(37.754627, -122.198216)"
BURG - RESIDENTIAL,12/29/2015 12:30:00 PM,15-068908,BURGLARY-FORCIBLE ENTRY,24Y,2800 OCTAVIA ST,Oakland,CA,"2800 OCTAVIA ST
Oakland, CA
(37.78841, -122.207605)"
FELONY ASSAULT,01/01/2016 07:42:00 PM,16-000136,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,24Y,2300 HUMBOLDT AV,Oakland,CA,"2300 HUMBOLDT AV
Oakland, CA
(37.787784, -122.214368)"
BURG - AUTO,12/29/2015 09:00:00 PM,16-900009,BURGLARY-AUTO,01X,300 CLAY ST,Oakland,CA,"300 CLAY ST
Oakland, CA
(37.797687, -122.278331)"
STOLEN VEHICLE,12/31/2015 08:30:00 PM,16-000422,VEHICLE THEFT - AUTO,08X,3400 RICHMOND BLVD,Oakland,CA,"3400 RICHMOND BLVD
Oakland, CA
(37.820488, -122.258268)"
